
Timestamp: 2024-08-17 16:58:53.569440
COOLANT_TEMP: 82 degree_Celsius
MAF: 6.92 gps
INTAKE_TEMP: 51 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 20.0 percent
RPM: 2312.5 revolutions_per_minute
THROTTLE_POS: 5.098039215686274 percent
SPEED: 28.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 9.375 percent

Timestamp: 2024-08-17 16:58:55.624622
COOLANT_TEMP: 82 degree_Celsius
MAF: 5.98 gps
INTAKE_TEMP: 51 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 19.215686274509803 percent
RPM: 2362.5 revolutions_per_minute
THROTTLE_POS: 5.098039215686274 percent
SPEED: 28.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 9.375 percent

Timestamp: 2024-08-17 16:58:57.641231
COOLANT_TEMP: 82 degree_Celsius
MAF: 6.1000000000000005 gps
INTAKE_TEMP: 51 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 23.137254901960784 percent
RPM: 2400.0 revolutions_per_minute
THROTTLE_POS: 8.235294117647058 percent
SPEED: 30.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 9.375 percent

Timestamp: 2024-08-17 16:58:59.772530
COOLANT_TEMP: 82 degree_Celsius
MAF: 8.07 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 23.137254901960784 percent
RPM: 2575.0 revolutions_per_minute
THROTTLE_POS: 0.0 percent
SPEED: 30.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 0.78125 percent

Timestamp: 2024-08-17 16:59:01.733105
COOLANT_TEMP: 82 degree_Celsius
MAF: 2.2800000000000002 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 19.215686274509803 percent
RPM: 1637.5 revolutions_per_minute
THROTTLE_POS: 5.882352941176471 percent
SPEED: 30.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 3.90625 percent

Timestamp: 2024-08-17 16:59:03.797221
COOLANT_TEMP: 82 degree_Celsius
MAF: 7.46 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 21.176470588235293 percent
RPM: 1737.5 revolutions_per_minute
THROTTLE_POS: 2.3529411764705883 percent
SPEED: 30.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 4.6875 percent

Timestamp: 2024-08-17 16:59:05.806134
COOLANT_TEMP: 82 degree_Celsius
MAF: 4.74 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 29.019607843137255 percent
RPM: 1750.0 revolutions_per_minute
THROTTLE_POS: 4.313725490196078 percent
SPEED: 32.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 4.6875 percent

Timestamp: 2024-08-17 16:59:07.779760
COOLANT_TEMP: 83 degree_Celsius
MAF: 5.3 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 23.137254901960784 percent
RPM: 1775.0 revolutions_per_minute
THROTTLE_POS: 3.5294117647058822 percent
SPEED: 32.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 4.6875 percent

Timestamp: 2024-08-17 16:59:09.835343
COOLANT_TEMP: 83 degree_Celsius
MAF: 4.96 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 21.568627450980394 percent
RPM: 1762.5 revolutions_per_minute
THROTTLE_POS: 3.1372549019607843 percent
SPEED: 32.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 3.90625 percent

Timestamp: 2024-08-17 16:59:11.891835
COOLANT_TEMP: 83 degree_Celsius
MAF: 2.94 gps
INTAKE_TEMP: 50 degree_Celsius
ELM_VOLTAGE: 13.8 volt
ENGINE_LOAD: 12.549019607843137 percent
RPM: 1662.5 revolutions_per_minute
THROTTLE_POS: 0.39215686274509803 percent
SPEED: 28.0 kilometer_per_hour
LONG_FUEL_TRIM_1: 0.78125 percent

Timestamp: 2024-08-17 16:59:13.907377
